"label
0-平;1-升CPU;2-升内存;3-升CPU内存;-1-降CPU;-2-降内存;-3-降CPU内存",机器名,业务IP,归属系统,归属微服务,系统级别,进程,规格,机房,网络区域,芯片架构,最高CPU利用率,最高内存利用率,CPU利用率(>20%)时间占比,CPU利用率(>30%)时间占比,创建/变更时间
1,hfa-act-ES-kzx-0001,10.1.3.122,ACT,ES,A+,ES,4C8G,hfa,AG,x86,36%,17%,2%,1%,2020-08-02
-1,hfa-act-ES-kzx-0002,10.1.3.226,ACT,ES,A+,ES,4C8G,hfa,AG,x86,34%,100%,6%,3%,2020-01-10
-1,hfa-act-ES-kzx-0003,10.1.3.181,ACT,ES,A+,ES,4C8G,hfa,AG,x86,32%,21%,26%,5%,2020-07-16
0,sza-act-ES-kzx-0001,10.1.1.48,ACT,ES,A+,ES,16C64G,sza,AG,x86,82%,81%,46%,26%,2020-06-01
0,sza-act-ES-kzx-0002,10.1.1.19,ACT,ES,A+,ES,16C64G,sza,AG,x86,70%,30%,55%,25%,2020-01-12
3,sza-act-ES-kzx-0003,10.1.1.164,ACT,ES,A+,ES,16C64G,sza,AG,x86,63%,52%,33%,23%,2020-12-04
0,szb-act-ES-kzx-0001,10.1.2.235,ACT,ES,A+,ES,16C64G,szb,AG,ARM,22%,98%,20%,0%,2020-06-15
2,szb-act-ES-kzx-0002,10.1.2.45,ACT,ES,A+,ES,16C64G,szb,AG,ARM,75%,10%,15%,5%,2020-02-21
2,szb-act-ES-kzx-0003,10.1.2.132,ACT,ES,A+,ES,16C64G,szb,AG,ARM,19%,28%,0%,0%,2020-03-08
2,hfa-act-MGR-kzx-0001,10.8.3.111,ACT,MGR,A+,MGR,4C16G,hfa,OA,x86,66%,15%,13%,2%,2020-08-18
2,hfa-act-MGR-kzx-0002,10.8.3.10,ACT,MGR,A+,MGR,4C16G,hfa,OA,x86,100%,29%,27%,15%,2020-06-09
1,sza-act-MGR-kzx-0001,10.8.1.22,ACT,MGR,A+,MGR,16C64G,sza,OA,ARM,100%,79%,72%,63%,2020-07-05
3,sza-act-MGR-kzx-0002,10.8.1.25,ACT,MGR,A+,MGR,16C64G,sza,OA,ARM,45%,21%,55%,28%,2020-07-16
-1,sza-act-MGR-kzx-0003,10.8.1.200,ACT,MGR,A+,MGR,16C64G,sza,OA,ARM,70%,87%,36%,19%,2020-03-18
0,szb-act-MGR-kzx-0001,10.8.2.22,ACT,MGR,A+,MGR,16C64G,szb,OA,x86,74%,41%,27%,12%,2020-01-04
3,szb-act-MGR-kzx-0002,10.8.2.33,ACT,MGR,A+,MGR,16C64G,szb,OA,x86,100%,60%,21%,6%,2020-05-15
-2,szb-act-MGR-kzx-0003,10.8.2.29,ACT,MGR,A+,MGR,16C64G,szb,OA,x86,58%,23%,34%,2%,2020-11-02
-3,hfa-act-Nginx-kzx-0001,10.7.3.42,ACT,Nginx,A+,Nginx,2C8G,hfa,HXYW,C86,59%,52%,1%,0%,2020-12-04
2,hfa-act-Nginx-kzx-0002,10.7.3.187,ACT,Nginx,A+,Nginx,2C8G,hfa,HXYW,C86,11%,19%,0%,0%,2020-12-03
0,sza-act-Nginx-kzx-0001,10.7.1.210,ACT,Nginx,A+,Nginx,8C16G,sza,HXYW,ARM,100%,88%,68%,22%,2020-12-11
-3,sza-act-Nginx-kzx-0002,10.7.1.72,ACT,Nginx,A+,Nginx,8C16G,sza,HXYW,ARM,59%,43%,44%,38%,2020-07-13
-2,szb-act-Nginx-kzx-0001,10.7.2.150,ACT,Nginx,A+,Nginx,8C16G,szb,HXYW,x86,26%,100%,16%,0%,2020-01-26
1,szb-act-Nginx-kzx-0002,10.7.2.240,ACT,Nginx,A+,Nginx,8C16G,szb,HXYW,x86,17%,69%,0%,0%,2020-08-05
1,hfa-act-Redis-kzx-0001,10.7.3.217,ACT,Redis,A+,Redis,2C8G,hfa,HXYW,C86,27%,28%,21%,0%,2020-12-25
2,hfa-act-Redis-kzx-0002,10.7.3.184,ACT,Redis,A+,Redis,2C8G,hfa,HXYW,C86,10%,16%,0%,0%,2020-05-27
1,hfa-act-Redis-kzx-0003,10.7.3.159,ACT,Redis,A+,Redis,2C8G,hfa,HXYW,C86,42%,18%,41%,12%,2020-08-02
1,hfa-act-Redis-kzx-0004,10.7.3.88,ACT,Redis,A+,Redis,2C8G,hfa,HXYW,C86,34%,18%,54%,19%,2020-04-14
0,hfa-act-Redis-kzx-0005,10.7.3.83,ACT,Redis,A+,Redis,2C8G,hfa,HXYW,C86,33%,45%,28%,5%,2020-06-15
2,hfa-act-Redis-kzx-0006,10.7.3.20,ACT,Redis,A+,Redis,2C8G,hfa,HXYW,C86,83%,12%,2%,1%,2020-08-04
0,sza-act-Redis-kzx-0001,10.7.1.48,ACT,Redis,A+,Redis,2C8G,sza,HXYW,C86,61%,73%,75%,68%,2020-01-18
-3,sza-act-Redis-kzx-0002,10.7.1.182,ACT,Redis,A+,Redis,2C8G,sza,HXYW,C86,49%,45%,6%,3%,2020-08-04
-2,sza-act-Redis-kzx-0003,10.7.1.156,ACT,Redis,A+,Redis,2C8G,sza,HXYW,C86,95%,94%,10%,5%,2020-12-04
-3,sza-act-Redis-kzx-0004,10.7.1.130,ACT,Redis,A+,Redis,2C8G,sza,HXYW,C86,62%,50%,88%,22%,2020-07-26
2,sza-act-Redis-kzx-0005,10.7.1.28,ACT,Redis,A+,Redis,2C8G,sza,HXYW,C86,85%,39%,49%,10%,2020-08-24
1,sza-act-Redis-kzx-0006,10.7.1.146,ACT,Redis,A+,Redis,2C8G,sza,HXYW,C86,73%,35%,26%,5%,2020-06-18
1,szb-act-Redis-kzx-0001,10.7.2.172,ACT,Redis,A+,Redis,2C8G,szb,HXYW,ARM,83%,63%,4%,2%,2020-02-24
-1,szb-act-Redis-kzx-0002,10.7.2.50,ACT,Redis,A+,Redis,2C8G,szb,HXYW,ARM,29%,47%,22%,0%,2020-07-15
3,szb-act-Redis-kzx-0003,10.7.2.229,ACT,Redis,A+,Redis,2C8G,szb,HXYW,ARM,16%,34%,0%,0%,2020-07-04
-1,szb-act-Redis-kzx-0004,10.7.2.242,ACT,Redis,A+,Redis,2C8G,szb,HXYW,ARM,31%,64%,22%,6%,2020-03-22
1,szb-act-Redis-kzx-0005,10.7.2.117,ACT,Redis,A+,Redis,2C8G,szb,HXYW,ARM,66%,43%,1%,0%,2020-11-02
2,szb-act-Redis-kzx-0006,10.7.2.59,ACT,Redis,A+,Redis,2C8G,szb,HXYW,ARM,52%,15%,49%,33%,2020-07-07
0,hfa-act-app-kzx-0001,10.1.3.163,ACT,app,A+,app,8C32G,hfa,AG,x86,31%,68%,25%,13%,2020-05-23
2,hfa-act-app-kzx-0002,10.1.3.116,ACT,app,A+,app,8C32G,hfa,AG,x86,19%,71%,0%,0%,2020-02-11
0,sza-act-app-kzx-0001,10.1.1.253,ACT,app,A+,app,16C64G,sza,AG,ARM,82%,75%,68%,47%,2020-05-04
2,sza-act-app-kzx-0002,10.1.1.28,ACT,app,A+,app,16C64G,sza,AG,ARM,100%,62%,15%,1%,2020-02-03
-1,szb-act-app-kzx-0001,10.1.2.107,ACT,app,A+,app,16C64G,szb,AG,ARM,27%,12%,20%,0%,2020-08-14
3,szb-act-app-kzx-0002,10.1.2.121,ACT,app,A+,app,16C64G,szb,AG,ARM,94%,30%,43%,38%,2020-06-19
-2,hfa-callcenter-CMCC-kzx-0001,10.7.3.214,CALLCENTER,CMCC,B,CMCC,8C16G,hfa,HXYW,x86,19%,27%,0%,0%,2020-11-09
-2,hfa-callcenter-CMCC-kzx-0002,10.7.3.111,CALLCENTER,CMCC,B,CMCC,8C16G,hfa,HXYW,x86,14%,20%,0%,0%,2020-05-13
1,sza-callcenter-CMCC-kzx-0001,10.7.1.132,CALLCENTER,CMCC,B,CMCC,16C32G,sza,HXYW,ARM,61%,84%,69%,34%,2020-11-19
-3,sza-callcenter-CMCC-kzx-0002,10.7.1.240,CALLCENTER,CMCC,B,CMCC,16C32G,sza,HXYW,ARM,74%,54%,83%,18%,2020-03-26
1,szb-callcenter-CMCC-kzx-0001,10.7.2.71,CALLCENTER,CMCC,B,CMCC,16C32G,szb,HXYW,x86,72%,79%,11%,2%,2020-11-19
3,szb-callcenter-CMCC-kzx-0002,10.7.2.78,CALLCENTER,CMCC,B,CMCC,16C32G,szb,HXYW,x86,29%,30%,23%,0%,2020-07-04
0,hfa-callcenter-CTCC-kzx-0001,10.7.3.146,CALLCENTER,CTCC,B,CTCC,2C4G,hfa,HXYW,ARM,59%,15%,30%,3%,2020-01-08
1,hfa-callcenter-CTCC-kzx-0002,10.7.3.89,CALLCENTER,CTCC,B,CTCC,2C4G,hfa,HXYW,ARM,69%,19%,24%,15%,2020-03-25
0,sza-callcenter-CTCC-kzx-0001,10.7.1.6,CALLCENTER,CTCC,B,CTCC,4C8G,sza,HXYW,C86,81%,90%,66%,51%,2020-11-13
-2,sza-callcenter-CTCC-kzx-0002,10.7.1.87,CALLCENTER,CTCC,B,CTCC,4C8G,sza,HXYW,C86,31%,91%,98%,8%,2020-12-07
-1,szb-callcenter-CTCC-kzx-0001,10.7.2.204,CALLCENTER,CTCC,B,CTCC,4C8G,szb,HXYW,ARM,49%,12%,11%,5%,2020-05-21
-1,szb-callcenter-CTCC-kzx-0002,10.7.2.217,CALLCENTER,CTCC,B,CTCC,4C8G,szb,HXYW,ARM,75%,11%,20%,8%,2020-05-26
2,hfa-callcenter-CUCC-kzx-0001,10.2.3.101,CALLCENTER,CUCC,B,CUCC,2C4G,hfa,SCYW,C86,52%,17%,7%,3%,2020-09-17
2,hfa-callcenter-CUCC-kzx-0002,10.2.3.247,CALLCENTER,CUCC,B,CUCC,2C4G,hfa,SCYW,C86,40%,13%,10%,5%,2020-09-08
2,sza-callcenter-CUCC-kzx-0001,10.2.1.1,CALLCENTER,CUCC,B,CUCC,2C4G,sza,SCYW,C86,81%,98%,61%,5%,2020-04-26
-2,sza-callcenter-CUCC-kzx-0002,10.2.1.123,CALLCENTER,CUCC,B,CUCC,2C4G,sza,SCYW,C86,48%,97%,41%,38%,2020-10-09
-1,szb-callcenter-CUCC-kzx-0001,10.2.2.24,CALLCENTER,CUCC,B,CUCC,2C4G,szb,SCYW,x86,11%,14%,0%,0%,2020-06-02
3,szb-callcenter-CUCC-kzx-0002,10.2.2.12,CALLCENTER,CUCC,B,CUCC,2C4G,szb,SCYW,x86,33%,12%,10%,5%,2020-09-10
2,hfa-callcenter-Kafka-kzx-0001,10.7.3.187,CALLCENTER,Kafka,B,Kafka,4C8G,hfa,HXYW,C86,90%,87%,57%,3%,2020-07-17
1,hfa-callcenter-Kafka-kzx-0002,10.7.3.184,CALLCENTER,Kafka,B,Kafka,4C8G,hfa,HXYW,C86,44%,70%,24%,9%,2020-03-14
-1,hfa-callcenter-Kafka-kzx-0003,10.7.3.247,CALLCENTER,Kafka,B,Kafka,4C8G,hfa,HXYW,C86,52%,19%,70%,14%,2020-11-16
0,sza-callcenter-Kafka-kzx-0001,10.7.1.180,CALLCENTER,Kafka,B,Kafka,16C64G,sza,HXYW,ARM,12%,97%,0%,0%,2020-12-20
3,sza-callcenter-Kafka-kzx-0002,10.7.1.174,CALLCENTER,Kafka,B,Kafka,16C64G,sza,HXYW,ARM,59%,43%,33%,17%,2020-05-13
0,sza-callcenter-Kafka-kzx-0003,10.7.1.55,CALLCENTER,Kafka,B,Kafka,16C64G,sza,HXYW,ARM,57%,59%,24%,6%,2020-07-15
-2,szb-callcenter-Kafka-kzx-0001,10.7.2.24,CALLCENTER,Kafka,B,Kafka,16C64G,szb,HXYW,x86,16%,19%,0%,0%,2020-03-28
1,szb-callcenter-Kafka-kzx-0002,10.7.2.60,CALLCENTER,Kafka,B,Kafka,16C64G,szb,HXYW,x86,27%,46%,35%,0%,2020-09-10
-3,szb-callcenter-Kafka-kzx-0003,10.7.2.135,CALLCENTER,Kafka,B,Kafka,16C64G,szb,HXYW,x86,82%,14%,6%,3%,2020-01-21
1,hfa-callcenter-MGR-kzx-0001,10.1.3.180,CALLCENTER,MGR,B,MGR,2C4G,hfa,AG,ARM,44%,12%,18%,6%,2020-03-18
-2,hfa-callcenter-MGR-kzx-0002,10.1.3.43,CALLCENTER,MGR,B,MGR,2C4G,hfa,AG,ARM,20%,32%,6%,0%,2020-03-15
-2,sza-callcenter-MGR-kzx-0001,10.1.1.79,CALLCENTER,MGR,B,MGR,8C32G,sza,AG,x86,84%,83%,11%,6%,2020-10-19
-2,sza-callcenter-MGR-kzx-0002,10.1.1.3,CALLCENTER,MGR,B,MGR,8C32G,sza,AG,x86,48%,58%,35%,14%,2020-08-23
1,szb-callcenter-MGR-kzx-0001,10.1.2.13,CALLCENTER,MGR,B,MGR,8C32G,szb,AG,x86,20%,32%,14%,0%,2020-10-11
1,szb-callcenter-MGR-kzx-0002,10.1.2.232,CALLCENTER,MGR,B,MGR,8C32G,szb,AG,x86,60%,43%,2%,1%,2020-04-10
3,hfa-callcenter-Nginx-kzx-0001,10.3.3.185,CALLCENTER,Nginx,B,Nginx,8C32G,hfa,KFCS,ARM,10%,100%,0%,0%,2020-12-25
