label,机器名,业务IP,归属系统,归属微服务,系统级别,进程,规格,机房,网络区域,芯片架构,最高CPU利用率,最高内存利用率,CPU利用率(>20%)时间占比,CPU利用率(>30%)时间占比,创建/变更时间
1-升CPU,hfa-act-ES-kzx-0001,10.8.3.187,ACT,ES,A+,ES,4C8G,hfa,OA,C86,0.68,0.45,0.06,0.03,2020/4/20
6-降CPU内存,hfa-act-ES-kzx-0002,10.8.3.98,ACT,ES,A+,ES,4C8G,hfa,OA,C86,0.24,0.23,0.11,0,2020/1/23
6-降CPU内存,hfa-act-ES-kzx-0003,10.8.3.239,ACT,ES,A+,ES,4C8G,hfa,OA,C86,0.37,0.44,0.11,0.04,2020/3/16
1-升CPU,sza-act-ES-kzx-0001,10.8.1.35,ACT,ES,A+,ES,4C8G,sza,OA,x86,0.7,0.6,0.62,0.29,2020/4/4
1-升CPU,sza-act-ES-kzx-0002,10.8.1.238,ACT,ES,A+,ES,4C8G,sza,OA,x86,1,0.24,0.37,0.25,2020/5/4
1-升CPU,sza-act-ES-kzx-0003,10.8.1.62,ACT,ES,A+,ES,4C8G,sza,OA,x86,0.8,0.59,0.28,0.2,2020/3/13
6-降CPU内存,szb-act-ES-kzx-0001,10.8.2.243,ACT,ES,A+,ES,4C8G,szb,OA,ARM,0.37,0.2,0.07,0.03,2020/9/17
6-降CPU内存,szb-act-ES-kzx-0002,10.8.2.14,ACT,ES,A+,ES,4C8G,szb,OA,ARM,0.27,0.26,0.08,0,2020/5/24
4-降CPU,szb-act-ES-kzx-0003,10.8.2.184,ACT,ES,A+,ES,4C8G,szb,OA,ARM,0.39,0.86,0.34,0.06,2020/12/20
6-降CPU内存,hfa-act-MGR-kzx-0001,10.1.3.19,ACT,MGR,A+,MGR,4C8G,hfa,AG,C86,0.49,0.17,0.37,0.28,2020/10/20
5-降内存,hfa-act-MGR-kzx-0002,10.1.3.73,ACT,MGR,A+,MGR,4C8G,hfa,AG,C86,0.13,0.63,0,0,2020/4/1
3-升CPU内存,sza-act-MGR-kzx-0001,10.1.1.137,ACT,MGR,A+,MGR,4C16G,sza,AG,ARM,0.81,1,0.68,0.57,2020/6/2
1-升CPU,sza-act-MGR-kzx-0002,10.1.1.138,ACT,MGR,A+,MGR,4C16G,sza,AG,ARM,0.59,0.57,0.39,0.15,2020/11/1
1-升CPU,szb-act-MGR-kzx-0001,10.1.2.100,ACT,MGR,A+,MGR,4C16G,szb,AG,x86,0.82,0.36,0.02,0.01,2020/5/18
1-升CPU,szb-act-MGR-kzx-0002,10.1.2.121,ACT,MGR,A+,MGR,4C16G,szb,AG,x86,1,0.46,0.36,0.25,2020/7/18
3-升CPU内存,hfa-act-Nginx-kzx-0001,10.7.3.159,ACT,Nginx,A+,Nginx,2C4G,hfa,HXYW,C86,0.39,0.91,0.28,0.16,2020/3/18
0-平,hfa-act-Nginx-kzx-0002,10.7.3.81,ACT,Nginx,A+,Nginx,2C4G,hfa,HXYW,C86,0.28,0.18,0.01,0,2020/3/9
0-平,hfa-act-Nginx-kzx-0003,10.7.3.86,ACT,Nginx,A+,Nginx,2C4G,hfa,HXYW,C86,0.42,1,0.15,0.08,2020/2/18
4-降CPU,sza-act-Nginx-kzx-0001,10.7.1.192,ACT,Nginx,A+,Nginx,8C32G,sza,HXYW,x86,0.2,0.78,0.81,0,2020/5/10
1-升CPU,sza-act-Nginx-kzx-0002,10.7.1.181,ACT,Nginx,A+,Nginx,8C32G,sza,HXYW,x86,0.51,0.53,0.15,0.07,2020/4/18
3-升CPU内存,sza-act-Nginx-kzx-0003,10.7.1.88,ACT,Nginx,A+,Nginx,8C32G,sza,HXYW,x86,0.96,0.87,0.27,0.18,2020/8/6
1-升CPU,szb-act-Nginx-kzx-0001,10.7.2.178,ACT,Nginx,A+,Nginx,8C32G,szb,HXYW,C86,0.77,0.42,0.09,0.04,2020/4/8
6-降CPU内存,szb-act-Nginx-kzx-0002,10.7.2.248,ACT,Nginx,A+,Nginx,8C32G,szb,HXYW,C86,0.25,0.13,0.38,0,2020/5/9
1-升CPU,szb-act-Nginx-kzx-0003,10.7.2.84,ACT,Nginx,A+,Nginx,8C32G,szb,HXYW,C86,0.56,0.13,0.2,0.07,2020/5/15
5-降内存,hfa-act-Redis-kzx-0001,10.8.3.11,ACT,Redis,A+,Redis,2C8G,hfa,OA,C86,0.33,0.15,0.03,0.01,2020/8/20
1-升CPU,hfa-act-Redis-kzx-0002,10.8.3.153,ACT,Redis,A+,Redis,2C8G,hfa,OA,C86,0.74,0.21,0.26,0.1,2020/7/26
5-降内存,hfa-act-Redis-kzx-0003,10.8.3.251,ACT,Redis,A+,Redis,2C8G,hfa,OA,C86,0.11,0.48,0,0,2020/12/13
1-升CPU,hfa-act-Redis-kzx-0004,10.8.3.2,ACT,Redis,A+,Redis,2C8G,hfa,OA,C86,0.8,0.48,0.47,0.1,2020/5/16
0-平,hfa-act-Redis-kzx-0005,10.8.3.65,ACT,Redis,A+,Redis,2C8G,hfa,OA,C86,0.41,0.89,0.27,0.04,2020/10/10
0-平,hfa-act-Redis-kzx-0006,10.8.3.48,ACT,Redis,A+,Redis,2C8G,hfa,OA,C86,0.42,0.93,0.48,0.34,2020/6/15
3-升CPU内存,sza-act-Redis-kzx-0001,10.8.1.88,ACT,Redis,A+,Redis,2C8G,sza,OA,C86,0.89,0.88,0.52,0.32,2020/10/4
5-降内存,sza-act-Redis-kzx-0002,10.8.1.173,ACT,Redis,A+,Redis,2C8G,sza,OA,C86,0.12,0.35,0,0,2020/7/17
1-升CPU,sza-act-Redis-kzx-0003,10.8.1.15,ACT,Redis,A+,Redis,2C8G,sza,OA,C86,0.79,0.54,0.34,0.02,2020/10/7
5-降内存,sza-act-Redis-kzx-0004,10.8.1.105,ACT,Redis,A+,Redis,2C8G,sza,OA,C86,0.15,0.79,0,0,2020/9/9
1-升CPU,sza-act-Redis-kzx-0005,10.8.1.61,ACT,Redis,A+,Redis,2C8G,sza,OA,C86,0.56,0.45,0.4,0.14,2020/1/20
5-降内存,sza-act-Redis-kzx-0006,10.8.1.203,ACT,Redis,A+,Redis,2C8G,sza,OA,C86,0.43,0.23,0.81,0.6,2020/12/5
5-降内存,szb-act-Redis-kzx-0001,10.8.2.146,ACT,Redis,A+,Redis,2C8G,szb,OA,C86,0.23,0.7,0.07,0,2020/11/11
5-降内存,szb-act-Redis-kzx-0002,10.8.2.122,ACT,Redis,A+,Redis,2C8G,szb,OA,C86,0.37,0.29,0.41,0.28,2020/5/5
5-降内存,szb-act-Redis-kzx-0003,10.8.2.226,ACT,Redis,A+,Redis,2C8G,szb,OA,C86,0.14,0.18,0,0,2020/5/15
1-升CPU,szb-act-Redis-kzx-0004,10.8.2.30,ACT,Redis,A+,Redis,2C8G,szb,OA,C86,0.89,0.74,0.21,0.18,2020/1/11
