业务IP,归属系统,归属微服务,系统级别,进程,规格,机房,网络区域,芯片架构,最高CPU利用率,最高内存利用率,CPU利用率(>20%)时间占比,CPU利用率(>30%)时间占比,group
[  1 111 188 244],13,[76],2,[76],6,0,4,0,0.6753038550826848,0.9175980628896445,1.00358500666793,0.04564099651517479,[33 71 98 64  0]
[  1 177 177 147],9,[40],3,[40],2,2,2,2,1.8753818022279884,-1.0442584808753073,-0.48507065953077044,-0.3193922847420846,[56 55 54 64  0]
[  1   0 188 214],16,[8],0,[8],4,0,0,2,1.257159829456165,1.068510104717718,1.3169861995518666,2.1141629236396446,[33 77 14 64  0]
[  1   0 177 226],3,[55],2,[55],6,2,0,2,0.05708188231086139,-1.1951705227033806,-0.680946405083231,-0.3802311649516278,[56 38 71 64  0]
[  1   0 111 216],1,[5],1,[5],8,4,0,2,1.438989821447878,-0.025602198535812977,-0.680946405083231,-0.3802311649516278,[93 27 11 64  1]
[  1   0 111 155],2,[76],2,[76],1,4,0,2,-0.9975320712410722,0.6912300001475349,-0.2891949139783098,-0.684425565999344,[93 36 98 64  1]
[  1 111 177  70],16,[12],0,[12],2,2,4,1,-0.9248000744443873,1.445790209287901,-0.09331916842584934,-0.684425565999344,[56 77 18 64  0]
[  1 111 177 137],6,[58],2,[58],7,2,4,2,-0.7429700824526744,0.7289580106045532,-0.5242458086412625,-0.684425565999344,[56 46 76 64  1]
[  1 177 177 187],15,[57],2,[57],3,2,2,1,1.5480878166429057,-0.8556184285902159,0.10255657712661118,-0.2585534045325413,[56 75 74 64  0]
[  1 220 198  49],11,[49],3,[49],5,1,1,0,-0.6702380856559894,1.860798324315102,-0.680946405083231,-0.684425565999344,[34 65 65 64  0]
[  1 230   0 225],1,[18],1,[18],6,3,3,1,0.9662318422694249,-0.2519702612779228,0.7293589628944851,0.16731875693426135,[92 27 25 64  1]
[  1 111 188  79],3,[76],2,[76],2,0,4,0,-0.01565011448582375,-0.40288230310599615,0.8860595593364534,1.0799019600774096,[33 38 98 64  1]
[  1 111 188 121],16,[12],0,[12],3,0,4,1,0.6753038550826848,-0.4406103135630145,1.9437885853197405,2.1750018038491876,[33 77 18 64  3]
